old_code,new_code
8A1,8A1
8E3,8E3
8G3,8G3
8HP,8HP
8J2,8J2
AAH,AAH
ACG,ACG
ADP,ADP
AHH,AHH
AJX,AJX
ARH,ARH
AVQ,AVQ
AXG,AXG
DX1,DX1
NAM,NAM
NAX,NAX
NDA,NDA
NDJ,NDJ
NEQ,NEQ
NEY,NEY
NFH,NFH
NHM,NHM
NHW,NHW
NLL,NLL
NLT,NLT
NLX,NLX
NN4,NN4
NN5,NN5
NN8,NN8
NNE,NNE
NNH,NNH
NPG,NPG
NQ1,NQ1
NQ7,NQ7
NQL,NQL
NQM,NQM
NQT,NQT
NR5,NR5
NT2,NT2
NT3,NT3
NT4,NT4
NTE,NTE
NTP,NTP
NTV,NTV
NTX,NTX
NV3,NV3
NVC,NVC
NVG,NVG
NVM,NVM
NW6,NW6
NWF,NWF
NWV,NWV
NWX,NWX
NXM,NXM
NXP,NXP
NY6,NY6
NYG,NYG
NYW,NYW
R0A,R0A
R0B,R0B
R0D,R0D
R1A,R1A
R1C,R1C
R1D,R1D
R1E,RRE
R1F,R1F
R1H,R1H
R1J,RTQ
R1K,R1K
R1L,R1L
RA2,RA2
RA3,RA7
RA4,RH5
RA7,RA7
RA9,RA9
RAE,RAE
RAJ,RAJ
RAL,RAL
RAN,RAN
RAP,RAP
RAS,RAS
RAT,RAT
RAX,RAX
RBA,RH5
RBD,RBD
RBK,RBK
RBL,RBL
RBN,RBN
RBQ,RBQ
RBS,RBS
RBT,RBT
RBV,RBV
RBZ,RH8
RC1,RC9
RC9,RC9
RCB,RCB
RCD,RCD
RCF,RCF
RCU,RCU
RCX,RCX
RD1,RD1
RD3,R0D
RD8,RD8
RDD,RAJ
RDE,RDE
RDR,RDR
RDU,RDU
RDY,RDY
RDZ,R0D
RE9,R0B
REF,REF
REM,REM
REN,REN
REP,REP
RET,RET
RF4,RF4
RFF,RFF
RFR,RFR
RFS,RFS
RGD,RGD
RGM,RGM
RGN,RGN
RGP,RGP
RGQ,RDE
RGR,RGR
RGT,RGT
RH5,RH5
RH8,RH8
RHA,RHA
RHM,RHM
RHQ,RHQ
RHU,RHU
RHW,RHW
RJ1,RJ1
RJ2,RJ2
RJ6,RJ6
RJ7,RJ7
RJ8,RJ8
RJC,RJC
RJE,RJE
RJF,RTG
RJL,RJL
RJN,RJN
RJR,RJR
RJZ,RJZ
RK5,RK5
RK9,RK9
RKB,RKB
RKE,RKE
RKL,RKL
RL1,RL1
RL4,RL4
RLN,R0B
RLQ,RLQ
RLT,RLT
RLU,RQ3
RLY,RLY
RM1,RM1
RM2,R0A
RM3,RM3
RMC,RMC
RMP,RMP
RMY,RMY
RN3,RN3
RN5,RN5
RN7,RN7
RNA,RNA
RNL,RNN
RNN,RNN
RNQ,RNQ
RNS,RNS
RNU,RNU
RNZ,RNZ
RP1,RP1
RP4,RP4
RP5,RP5
RP6,RP6
RP7,RP7
RPA,RPA
RPC,RPC
RPG,RPG
RPY,RPY
RQ3,RQ3
RQ6,REM
RQ8,RAJ
RQM,RQM
RQQ,RGN
RQW,RQW
RQX,RQX
RQY,RQY
RR1,RRK
RR7,RR7
RR8,RR8
RRD,R1L
RRE,RRE
RRF,RRF
RRJ,RRJ
RRK,RRK
RRP,RRP
RRV,RRV
RT1,RT1
RT2,RT2
RT3,RJ1
RT5,RT5
RTD,RTD
RTE,RTE
RTF,RTF
RTG,RTG
RTH,RTH
RTK,RTK
RTP,RTP
RTQ,RTQ
RTR,RTR
RTV,RW4
RTX,RTX
RV3,RV3
RV5,RV5
RV9,RV9
RVJ,RVJ
RVN,RVN
RVR,RVR
RVV,RVV
RVW,RVW
RVY,RBN
RW1,RW1
RW3,R0A
RW4,RW4
RW5,RW5
RW6,RM3
RWA,RWA
RWD,RWD
RWE,RWE
RWF,RWF
RWG,RWG
RWH,RWH
RWJ,RWJ
RWK,RWK
RWN,R1L
RWP,RWP
RWR,RWR
RWV,RWV
RWW,RWW
RWX,RWX
RWY,RWY
RX1,RX1
RX2,RX2
RX3,RX3
RX4,RX4
RXA,RXA
RXC,RXC
RXE,RXE
RXF,RXF
RXG,RXG
RXH,RYR
RXK,RXK
RXL,RXL
RXM,RXM
RXN,RXN
RXP,RXP
RXQ,RXQ
RXR,RXR
RXT,RXT
RXV,RXV
RXW,RXW
RXX,RXX
RXY,RXY
RY1,RW4
RY3,RY3
RY4,RY4
RY5,RY5
RY6,RY6
RY8,RY8
RY9,RY9
RYG,RYG
RYJ,RYJ
RYK,RYK
RYR,RYR
RYV,RYV
RYW,RYW
RYY,RYY
TAD,TAD
TAE,RXV
TAJ,TAJ
